discussion_id,people_id,sentiment,reason,industry
renaming_park_himark_Travel_Himark_City_Hall_Completed_Discussion,Carol Limpet,0.5,Symbolic gesture that could attract tourists and improve community pride.,[]
name_inspection_office_Meeting_8_Proposal_Discussion,Simone Kat,0,Symbolic gesture with no direct impact on tourism or vessel operations.,[]
name_inspection_office_Travel_Lomark_Civic_Plaza_Completed_Discussion,Simone Kat,0,Symbolic gesture with no direct impact on tourism or vessel operations.,[]
marine_life_deck_Meeting_10_Initial_Ideas_Discussion,Simone Kat,1,"Strongly supports as it could be a major attraction, benefiting tourism.",['tourism']
marine_life_deck_Meeting_10_Initial_Ideas_Discussion,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Travel_Tropics_Environmental_Hub_Discussion,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Meeting_11_Feedback_Discussion,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Travel_Tropics_Environmental_Hub_Completed_Discussion,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Meeting_12_Detailed_Proposal_Discussion,Simone Kat,1,"Strongly supports as it could be a major attraction, benefiting tourism.",['tourism']
seafood_festival_Meeting_1_Discussion,Simone Kat,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,"['tourism', 'small vessel']"
seafood_festival_Meeting_1_Discussion,Carol Limpet,0.75,Supports as it offers community and economic benefits.,"['tourism', 'small vessel']"
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Discussion,Carol Limpet,0.75,Supports as it offers community and economic benefits.,"['tourism', 'small vessel']"
seafood_festival_Meeting_2_Feedback_Discussion,Carol Limpet,0.75,Supports as it offers community and economic benefits.,"['tourism', 'small vessel']"
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Completed_Discussion,Carol Limpet,0.75,Supports as it offers community and economic benefits.,"['tourism', 'small vessel']"
seafood_festival_Meeting_3_Take_Action_Discussion,Simone Kat,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,"['tourism', 'small vessel']"
heritage_walking_tour_Meeting_7_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Travel_Captain_Market_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_8_Proposal_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Travel_Captain_Market_Completed_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_9_Report_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_9_Take_Action_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
waterfront_market_Meeting_7_Discussion,Simone Kat,0.75,Supports as it aligns well with tourism and local economic growth.,['tourism']
waterfront_market_Meeting_7_Discussion,Carol Limpet,1,Strongly supports as it aligns with community and economic interests.,['tourism']
waterfront_market_Travel_Harbor_Edge_Grill_Discussion,Carol Limpet,1,Strongly supports as it aligns with community and economic interests.,['tourism']
waterfront_market_Travel_Harbor_Edge_Grill_Completed_Discussion,Carol Limpet,1,Strongly supports as it aligns with community and economic interests.,['tourism']
