discussion_id,topic_id,status
low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,low_volume_crane,
low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,low_volume_crane,
low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,low_volume_crane,
affordable_housing_Travel_Waveside_Townhomes_Discussion,affordable_housing,
renaming_park_himark_Travel_Himark_City_Hall_Discussion,renaming_park_himark,
renaming_park_himark_Meeting_5_Nominations_Discussion,renaming_park_himark,
renaming_park_himark_Travel_Himark_City_Hall_Completed_Discussion,renaming_park_himark,
name_inspection_office_Meeting_8_Proposal_Discussion,name_inspection_office,
name_inspection_office_Travel_Lomark_Civic_Plaza_Completed_Discussion,name_inspection_office,
marine_life_deck_Meeting_10_Initial_Ideas_Discussion,marine_life_deck,
marine_life_deck_Travel_Tropics_Environmental_Hub_Discussion,marine_life_deck,
marine_life_deck_Meeting_11_Feedback_Discussion,marine_life_deck,
marine_life_deck_Travel_Tropics_Environmental_Hub_Completed_Discussion,marine_life_deck,
marine_life_deck_Meeting_12_Detailed_Proposal_Discussion,marine_life_deck,
seafood_festival_Meeting_1_Discussion,seafood_festival,
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Discussion,seafood_festival,
seafood_festival_Meeting_2_Feedback_Discussion,seafood_festival,
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Completed_Discussion,seafood_festival,
seafood_festival_Meeting_3_Take_Action_Discussion,seafood_festival,
heritage_walking_tour_Travel_Captain_Market_Discussion,heritage_walking_tour,
heritage_walking_tour_Meeting_8_Proposal_Discussion,heritage_walking_tour,
heritage_walking_tour_Travel_Captain_Market_Completed_Discussion,heritage_walking_tour,
heritage_walking_tour_Meeting_9_Report_Discussion,heritage_walking_tour,
heritage_walking_tour_Meeting_9_Take_Action_Discussion,heritage_walking_tour,
waterfront_market_Meeting_7_Discussion,waterfront_market,
waterfront_market_Travel_Harbor_Edge_Grill_Discussion,waterfront_market,
waterfront_market_Travel_Harbor_Edge_Grill_Completed_Discussion,waterfront_market,
