discussion_id,people_id,sentiment,reason,industry
name_harbor_area_Meeting_11_Draft_Names_Discussion,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
name_harbor_area_Travel_The_Bait_Stich_Completed_Discussion,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
name_harbor_area_Travel_Harbor_Odyssey_Tours_Completed_Discussion,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
name_harbor_area_Meeting_12_Public_Opinion_Discussion,Ed Helpsford,0,Supportive but also feels it is a distraction,[]
name_inspection_office_Meeting_8_Proposal_Discussion,Simone Kat,0,Symbolic gesture with no direct impact on tourism or vessel operations.,[]
name_inspection_office_Travel_Lomark_Civic_Plaza_Discussion,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
name_inspection_office_Travel_Lomark_Civic_Plaza_Completed_Discussion,Simone Kat,0,Symbolic gesture with no direct impact on tourism or vessel operations.,[]
name_inspection_office_Meeting_9_Community_Vote_Discussion,Ed Helpsford,0,Supportive but also feels it is a distraction,[]
name_inspection_office_Meeting_14_Announcement_Discussion,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
marine_life_deck_Meeting_10_Initial_Ideas_Discussion,Simone Kat,1,"Strongly supports as it could be a major attraction, benefiting tourism.",['tourism']
marine_life_deck_Meeting_10_Initial_Ideas_Discussion,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Travel_Tropics_Environmental_Hub_Discussion,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Meeting_11_Feedback_Discussion,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Travel_Tropics_Environmental_Hub_Completed_Discussion,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Meeting_12_Environmental_Impact_Report_Discussion,Teddy Goldstein,-0.5,Prefers resources to be allocated toward the fishing industry.,['tourism']
marine_life_deck_Meeting_12_Detailed_Proposal_Discussion,Simone Kat,1,"Strongly supports as it could be a major attraction, benefiting tourism.",['tourism']
seafood_festival_Meeting_1_Discussion,Simone Kat,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,"['tourism', 'small vessel']"
seafood_festival_Meeting_1_Discussion,Carol Limpet,0.75,Supports as it offers community and economic benefits.,"['tourism', 'small vessel']"
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Discussion,Carol Limpet,0.75,Supports as it offers community and economic benefits.,"['tourism', 'small vessel']"
seafood_festival_Meeting_2_Feedback_Discussion,Carol Limpet,0.75,Supports as it offers community and economic benefits.,"['tourism', 'small vessel']"
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Completed_Discussion,Carol Limpet,0.75,Supports as it offers community and economic benefits.,"['tourism', 'small vessel']"
seafood_festival_Meeting_3_Report_Discussion,Tante Titan,0.75,Supports as it boosts local economy and community connection.,"['tourism', 'small vessel']"
seafood_festival_Meeting_3_Take_Action_Discussion,Simone Kat,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,"['tourism', 'small vessel']"
heritage_walking_tour_Meeting_7_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_7_Discussion,Tante Titan,1,"Believes it will highlight local history and attract tourists, without being high in cost.",['tourism']
heritage_walking_tour_Travel_Captain_Market_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_8_Proposal_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Travel_Captain_Market_Completed_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_9_Report_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_9_Take_Action_Discussion,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
waterfront_market_Meeting_7_Discussion,Simone Kat,0.75,Supports as it aligns well with tourism and local economic growth.,['tourism']
waterfront_market_Meeting_7_Discussion,Carol Limpet,1,Strongly supports as it aligns with community and economic interests.,['tourism']
waterfront_market_Travel_Harbor_Edge_Grill_Discussion,Carol Limpet,1,Strongly supports as it aligns with community and economic interests.,['tourism']
waterfront_market_Travel_Harborfront_Market_Discussion,Tante Titan,0.25,Cautious but open to evaluating the benefits.,['tourism']
waterfront_market_Meeting_8_Gather_Feedback_Discussion,Tante Titan,0.25,Cautious but open to evaluating the benefits.,['tourism']
waterfront_market_Travel_Harborfront_Market_Completed_Discussion,Tante Titan,0.25,Cautious but open to evaluating the benefits.,['tourism']
waterfront_market_Travel_Harbor_Edge_Grill_Completed_Discussion,Carol Limpet,1,Strongly supports as it aligns with community and economic interests.,['tourism']
waterfront_market_Meeting_9_Report_Discussion,Ed Helpsford,1,Strongly supports as it could benefit small vessel,['tourism']
concert_Meeting_7_Discussion,Tante Titan,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
concert_Meeting_7_Discussion,Ed Helpsford,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
concert_Travel_Packland_Elementary_Discussion,Tante Titan,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
concert_Travel_Paakland_Elementary_Completed_Discussion,Tante Titan,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
concert_Meeting_16_Feedback_Discussion,Tante Titan,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
concert_Meeting_16_Road_Closures_Discussion,Ed Helpsford,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
concert_Meeting_16_Communication_Complaints_Discussion,Tante Titan,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
