plan_id,people_id,sentiment,reason,industry
renaming_park_himark_Meeting_7_Announce_Name,Tante Titan,1.0,Loves ceremonial gestures and believes they can have a positive impact.,[]
renaming_park_himark_Meeting_7_Unveiling_Event,Tante Titan,1.0,Loves ceremonial gestures and believes they can have a positive impact.,[]
name_harbor_area_Travel_The_Bait_Stich,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
name_harbor_area_Meeting_11_Draft_Names,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
name_harbor_area_Travel_Harbor_Odyssey_Tours,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
name_harbor_area_Meeting_12_Public_Opinion,Ed Helpsford,0,Supportive but also feels it is a distraction,[]
name_harbor_area_Meeting_14_Finalize_Name,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
name_inspection_office_Meeting_8_Proposal,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
name_inspection_office_Travel_Lomark_Civic_Plaza,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
name_inspection_office_Meeting_9_Community_Vote,Ed Helpsford,0,Supportive but also feels it is a distraction,[]
name_inspection_office_Meeting_14_Announcement,Tante Titan,1,Loves ceremonial gestures and believes they can have a positive impact.,[]
marine_life_deck_Meeting_10_Initial_Ideas,Simone Kat,1,"Strongly supports as it could be a major attraction, benefiting tourism.",['tourism']
marine_life_deck_Meeting_10_Initial_Ideas,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Travel_Tropics_Environmental_Hub,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Meeting_11_Feedback,Carol Limpet,0.5,Sees educational value but concerned about sustainable funding.,['tourism']
marine_life_deck_Meeting_12_Environmental_Impact_Report,Teddy Goldstein,-0.5,Prefers resources to be allocated toward the fishing industry.,['tourism']
marine_life_deck_Meeting_12_Detailed_Proposal,Simone Kat,1,"Strongly supports as it could be a major attraction, benefiting tourism.",['tourism']
seafood_festival_Meeting_1_Feasibility,Simone Kat,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,"['tourism', 'small vessel']"
seafood_festival_Meeting_1_Feasibility,Tante Titan,0.75,Supports as it boosts local economy and community connection.,"['tourism', 'small vessel']"
seafood_festival_Travel_Dock_Roll_Hall_of_Fame,Carol Limpet,0.75,Supports as it offers community and economic benefits.,"['tourism', 'small vessel']"
seafood_festival_Meeting_2_Feedback,Simone Kat,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,"['tourism', 'small vessel']"
seafood_festival_Meeting_3_Report,Tante Titan,0.75,Supports as it boosts local economy and community connection.,"['tourism', 'small vessel']"
seafood_festival_Meeting_3_Take_Action,Simone Kat,0.75,Sees great potential in drawing tourists and celebrating local cuisine.,"['tourism', 'small vessel']"
heritage_walking_tour_Meeting_7_Outline,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_7_Outline,Tante Titan,1,"Believes it will highlight local history and attract tourists, without being high in cost.",['tourism']
heritage_walking_tour_Travel_Captain_Market,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_8_Proposal,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_9_Report,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
heritage_walking_tour_Meeting_9_Take_Action,Simone Kat,1,Believes it will enhance the cultural appeal and attract more visitors.,['tourism']
waterfront_market_Meeting_7_Benefits_Feasibility,Tante Titan,0.25,Cautious but open to evaluating the benefits.,['tourism']
waterfront_market_Meeting_7_Benefits_Feasibility,Ed Helpsford,1,Strongly supports as it could benefit small vessel,['tourism']
waterfront_market_Travel_Harbor_Edge_Grill,Carol Limpet,1,Strongly supports as it aligns with community and economic interests.,['tourism']
waterfront_market_Travel_Harborfront_Market,Tante Titan,0.25,Cautious but open to evaluating the benefits.,['tourism']
waterfront_market_Meeting_8_Gather_Feedback,Tante Titan,0.25,Cautious but open to evaluating the benefits.,['tourism']
waterfront_market_Meeting_9_Report,Ed Helpsford,1,Strongly supports as it could benefit small vessel,['tourism']
concert_Meeting_7_Concert_Issues,Tante Titan,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
concert_Meeting_7_Concert_Issues,Ed Helpsford,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
concert_Travel_Paakland_Elementary,Tante Titan,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
concert_Meeting_16_Feedback,Tante Titan,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
concert_Meeting_16_Road_Closures,Ed Helpsford,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
concert_Meeting_16_Communication_Complaints,Tante Titan,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism']
