plan_id,short_title,long_title,plan_type
renaming_park_himark_Meeting_7_Unveiling_Event,renaming_park_himark_Meeting_7_Unveiling_Event,Presentation on unveiling event,presentation
name_harbor_area_Meeting_10_Historical_Significance,name_harbor_area_Meeting_10_Historical_Significance,Provide historical significance for naming the customs office,presentation
name_harbor_area_Travel_The_Bait_Stich,name_harbor_area_Travel_The_Bait_Stich,Travel to The Bait & Stich,Travel
name_harbor_area_Meeting_11_Draft_Names,name_harbor_area_Meeting_11_Draft_Names,Draft potential names for the customs office,proposal
name_harbor_area_Travel_Harbor_Odyssey_Tours,name_harbor_area_Travel_Harbor_Odyssey_Tours,Travel to Harbor Odyssey Tours,Travel
name_harbor_area_Meeting_12_Public_Opinion,name_harbor_area_Meeting_12_Public_Opinion,Gather public opinion on name choices and plan the dedication event,proposal
name_harbor_area_Meeting_14_Finalize_Name,name_harbor_area_Meeting_14_Finalize_Name,Finalize the name and plan the dedication event,proposal
name_inspection_office_Meeting_8_Importance,name_inspection_office_Meeting_8_Importance,Discuss the importance of naming the inspection office,presentation
name_inspection_office_Meeting_8_Proposal,name_inspection_office_Meeting_8_Proposal,Propose potential names based on feedback,proposal
name_inspection_office_Travel_Lomark_Civic_Plaza,name_inspection_office_Travel_Lomark_Civic_Plaza,Travel to Lomark Civic Plaza,Travel
name_inspection_office_Meeting_9_Community_Vote,name_inspection_office_Meeting_9_Community_Vote,Organize a community vote on the name,feedback
name_inspection_office_Meeting_14_Announcement,name_inspection_office_Meeting_14_Announcement,Announce the chosen name and organize an official naming ceremony,take action
marine_life_deck_Meeting_10_Initial_Ideas,marine_life_deck_Meeting_10_Initial_Ideas,Discuss initial ideas and viability of a marine life observation deck,Discussion
marine_life_deck_Travel_Tropics_Environmental_Hub,marine_life_deck_Travel_Tropics_Environmental_Hub,Travel to Tropics Environmental Hub in Centralia,Travel
marine_life_deck_Meeting_11_Feedback,marine_life_deck_Meeting_11_Feedback,Gather initial feedback from local businesses and community members,Feedback
marine_life_deck_Meeting_12_Environmental_Impact_Report,marine_life_deck_Meeting_12_Environmental_Impact_Report,Present findings from the environmental impact study,Report
marine_life_deck_Meeting_12_Detailed_Proposal,marine_life_deck_Meeting_12_Detailed_Proposal,Formulate a detailed proposal for the observation deck based on feedback,Take Action
seafood_festival_Meeting_1_Feasibility,seafood_festival_Meeting_1_Feasibility,Discuss the feasibility and benefits of hosting an annual seafood festival,Discussion
seafood_festival_Travel_Dock_Roll_Hall_of_Fame,seafood_festival_Travel_Dock_Roll_Hall_of_Fame,Travel to Dock & Roll Hall of Fame in Paackland,Travel
seafood_festival_Meeting_2_Feedback,seafood_festival_Meeting_2_Feedback,Gather feedback from local businesses and potential vendors,Feedback
seafood_festival_Meeting_3_Report,seafood_festival_Meeting_3_Report,"Present a detailed plan for the festival, including budget and logistics",Report
seafood_festival_Meeting_3_Take_Action,seafood_festival_Meeting_3_Take_Action,Coordinate with local authorities to secure necessary permits and finalize plans,Take Action
heritage_walking_tour_Meeting_7_Outline,heritage_walking_tour_Meeting_7_Outline,Discuss and outline the proposed heritage walking tour route and main landmarks,Discussion
heritage_walking_tour_Travel_Captain_Market,heritage_walking_tour_Travel_Captain_Market,Travel to Captain's Market,Travel
heritage_walking_tour_Meeting_8_Proposal,heritage_walking_tour_Meeting_8_Proposal,Gather community feedback on the proposed route and sites of interest,proposal
heritage_walking_tour_Meeting_9_Report,heritage_walking_tour_Meeting_9_Report,"Present detailed plans, including route maps and tour scripts",Report
heritage_walking_tour_Meeting_9_Take_Action,heritage_walking_tour_Meeting_9_Take_Action,Coordinate with local businesses and finalize the logistics for the walking tour,Take Action
waterfront_market_Meeting_7_Benefits_Feasibility,waterfront_market_Meeting_7_Benefits_Feasibility,Discuss the benefits and feasibility of establishing a waterfront market,Discussion
waterfront_market_Travel_Harbor_Edge_Grill,waterfront_market_Travel_Harbor_Edge_Grill,Travel to Harbor's Edge Grill in Paackland,Travel
waterfront_market_Travel_Harborfront_Market,waterfront_market_Travel_Harborfront_Market,Travel to Harborfront Market,Travel
waterfront_market_Meeting_8_Gather_Feedback,waterfront_market_Meeting_8_Gather_Feedback,Gather feedback from potential vendors and community members,Feedback
waterfront_market_Meeting_9_Report,waterfront_market_Meeting_9_Report,"Plan a detailed plan for the market, including layout and vendor requirements",Report
concert_Meeting_7_Concert_Issues,concert_Meeting_7_Concert_Issues,Discuss any issues with concert. Discuss needs to get community feedback on concerns,Discussion
concert_Travel_Paakland_Elementary,concert_Travel_Paakland_Elementary,Travel to Paakland Elementary,Travel
concert_Meeting_16_Feedback,concert_Meeting_16_Feedback,"Report on feedback from families on effect of concert, such as noise pollution and drunk tourists",Feedback
concert_Meeting_16_Road_Closures,concert_Meeting_16_Road_Closures,Status of road closures and traffic issues for concert,Report
concert_Meeting_16_Communication_Complaints,concert_Meeting_16_Communication_Complaints,Report on complaints on lack of communication of concert,Report
